"date","Dasyatis_akajei","Sardinops_melanostictus","Engraulis_japonicus","Plotosus_lineatus","Plecoglossus_altivelis","Saurida_sp.","Syngnathus_schlegeli","Hippocampus_coronatus","Mugil_cephalus","Hyporhamphus_sajori","Pterois_lunulata","Scorpaena_miostoma","Scorpaenodes_littoralis","Sebastiscus_marmoratus","Sebastes_thompsoni","Sebastes_inermis","Sebastes_oblongus","Sebastes_pachycephalus.pachycephalus","Inimicus_japonicus","Hypodytes_rubripinnis","Platycephalus_sp..2","Inegocia_japonica","Hexagrammos_otakii","Hexagrammos_agrammus","Furcina_osimae","Furcina_ishikawae","Pseudoblennius_cottoidae","Lateolabrax_japonicus","Epinephelus_akaara","Epinephelus_awoara","Apogon_semilineatus","Seriola_dumerili","Trachurus_japonicus","Leiognathus_nuchalis","Equulites_rivulatus","Lutjanus_ophuysenii","Lutjanus_russellii","Parapristipoma_trilineatum","Acanthopagrus_schlegelii","Pagrus_major","Sillago_japonica","Upeneus_tragula","Upeneus_japonicus","Chaetodon_modestus","Chaetodontoplus_septentrionalis","Goniistius_zonatus","Goniistius_quadricornis","Ditrema_temmincki","Chromis_notata.notata","Abudefduf_vaigiensis","Terapon_jarbua","Rhyncopelates_oxyrhynchus","Oplegnathus_fasciatus","Oplegnathus_punctatus","Girella_punctata","Choerodon_azurio","Semicossyphus_reticulatus","Pseudolabrus_sieboldi","Suezichthys_gracilis","Halichoeres_poecilopterus","Halichoeres_tenuispinnis","Dictyosoma_burgeri","Stichaeus_nozawai","Parapercis_snyderi","Parapercis_sexfasciata","Parablennius_yatabei","Istiblennius_enosimae","Omobranchus_fasciolatoceps","Omobranchus_elegans","Petroscirtes_springeri","Petroscirtes_breviceps","Calliurichthys_japonicus","Repomucenus_curvicornis","Trimma_grammistes","Eviota_abax","Chaenogobius_gulosus","Sagamia_geneionema","Gymnogobius_heptacanthus","Pterogobius_zonoleucus","Pterogobius_elapoides","Istigobius_campbelli","Istigobius_hoshinonis","Cryptocentrus_filifer","Acentrogobius_pflaumii","Tridentiger_trigonocephalus","Favonigobius_gymnauchen","Siganus_fuscescens","Sphyraena_pinguis","Paralichthys_olivaceus","Pleuronichthys_cornutus","Rudarius_ercodes","Thamnaconus_modestus","Stephanolepis_cirrhifer","Paramonacanthus_japonicus","Takifugu_pardalis","Takifugu_snyderi","Takifugu_poecilonotus","Takifugu_niphobles"
157,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,154.333333333333,0,0,0,2.66666666666667,0,0,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0.666666666666667,6,0,10.3333333333333,7.66666666666667,0.666666666666667,0,0,0,0,0,0,2,0,0.333333333333333,0,0,0,0,156.666666666667,0,0,0,0,0,0.333333333333333,0,12.6666666666667,2.33333333333333,0,0,0,0,0,2.33333333333333,0,0,0,0,0,1,0.333333333333333
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,6.33333333333333,0,0,0,1.33333333333333,0,0,2,0,0,0.333333333333333,2.33333333333333,0,0.333333333333333,0,0.333333333333333,0,216.666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,14,0,0,7.33333333333333,0,3.33333333333333,7.66666666666667,0.333333333333333,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,6.33333333333333,0,0,0,0.333333333333333,0,7.66666666666667,0,0,0,0,0,0,2.33333333333333,0,0,0,0,0,0.333333333333333,0.666666666666667
193,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,15.6666666666667,0,0.333333333333333,0,1.33333333333333,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0,1.66666666666667,0,383.333333333333,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,2.66666666666667,0,0.666666666666667,2.33333333333333,0,2.33333333333333,10.6666666666667,0,0,0,0,0.333333333333333,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0.666666666666667,0,3.33333333333333,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,2,0.666666666666667
210,0,0,0,100.666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,15.3333333333333,0,0,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0,0,1.33333333333333,0,0.333333333333333,0,0.666666666666667,0,319.333333333333,0,0,0,0,0,7.33333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,11.3333333333333,0,0.333333333333333,6.33333333333333,0,10,7.33333333333333,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,26.6666666666667,0,0,2,0,0,0.666666666666667,0,5.33333333333333,12.6666666666667,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333
221,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,14.3333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,1.33333333333333,0,0.666666666666667,0,102.666666666667,0,0,0,0,0,2,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,5,0,0.666666666666667,4.66666666666667,0,3.33333333333333,5.33333333333333,0,0,0,0,0,0,0,0.333333333333333,0,1.33333333333333,0,0,0,0,0,0,0,16.6666666666667,0,0,1,0,4,14.3333333333333,0,0,23.3333333333333,0.333333333333333,0,2.33333333333333,0,1.66666666666667,0,0,0,0.333333333333333,1.66666666666667
235,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,333.333333333333,0,0,0,0,0,1.33333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,4,0,0.333333333333333,6,0,0.666666666666667,9,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,8.33333333333333,0,0,0.333333333333333,0.333333333333333,4.33333333333333,3,0,0,207,0,0,1.66666666666667,0,1,0,0,0,0.333333333333333,1
253,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,23.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,2.66666666666667,0,0,2.66666666666667,0,0.333333333333333,3.66666666666667,0,0,0.333333333333333,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,2.66666666666667,0,68,0,0,0,1.66666666666667,0.333333333333333,1,0,0,0,0,0.666666666666667
269,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333,0,12.3333333333333,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,250,166.666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0,1.33333333333333,0,2,0.333333333333333,0.333333333333333,5.66666666666667,0,0.333333333333333,2.33333333333333,0,0,0,0,0,0,0,0,0,6.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2,0,34,0,0,0,2.66666666666667,0,0.666666666666667,0,0,0,0,2
283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.6666666666667,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,310,66.6666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,3,0,11,0.666666666666667,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,3.33333333333333,0,16.6666666666667,2.66666666666667,0,0,1.66666666666667,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.333333333333333
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,246.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.333333333333333,0.333333333333333,2.33333333333333,0,3.33333333333333,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,7.33333333333333,0,0,0,0,0,0,0,2.66666666666667,0,0,0,0.333333333333333,1.66666666666667,3.33333333333333,0,0,0,0,0,1.33333333333333,0,2.33333333333333,0.333333333333333,0,0,0,1.33333333333333
310,0,0,200,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,1.33333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,116.666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,10,0,0.333333333333333,1.66666666666667,0,1.66666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,15.6666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1
331,0,0,266.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,113.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,2.33333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,4,6,0,0,0,0,0,2,0,0,0,0,0,0,1
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0.666666666666667,2.66666666666667,0,0,0,0,0,1.66666666666667,0,0,0.333333333333333,0,0,0,0.333333333333333
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0.333333333333333,0,2.33333333333333,3,0,0,0,0,0,3.33333333333333,0,0.333333333333333,0.666666666666667,0,0,0,2
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,5,5.66666666666667,0,0,0,0,0,2,0,0,0,0,0,0,0.333333333333333
381,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,6.66666666666667,6.66666666666667,0,0.333333333333333,0,0,0,1,0,0,0.333333333333333,0,0,0,1
398,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,2,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,3.66666666666667,7,0,0,0,0,0,1,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1.33333333333333,0,11.6666666666667,6,0,0,0,0,0.333333333333333,2.66666666666667,0,0,0,0,0,0.333333333333333,2
439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66666666666667,4.66666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,2,3.66666666666667,0,0,0,0,0,2,0,0,0,0,0,0.333333333333333,0
464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.66666666666667,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,5.66666666666667,8,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.33333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1.66666666666667,17,0,0,0,0,0.333333333333333,1.33333333333333,0,0,0,0,0,0,0.333333333333333
496,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,4,0.333333333333333,0,0,1.66666666666667,0,0,0.666666666666667,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1.33333333333333,0,2,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,3.66666666666667,14,0,0,0,0,0,3,0,0,0,0,0,0,0.666666666666667
509,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,3,0,0,0,0.333333333333333,0,0,1.66666666666667,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,2,0,1.66666666666667,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,3,5.66666666666667,0,0,0,0,0.666666666666667,2.66666666666667,0,0,0,0,0,0,1
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0.666666666666667,0,0,2.33333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25.3333333333333,0,0,6.33333333333333,0,2,6,0.333333333333333,0,0,0,0.333333333333333,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,4,0,0,0,0,0,1,0.333333333333333
544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33333333333333,0,0,0,2,0.333333333333333,0,1.33333333333333,0.333333333333333,0,0,2,0,0.333333333333333,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0,0,0,0,3.66666666666667,0,0,4.33333333333333,0,1.66666666666667,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,4.33333333333333,1,0,0,0,0,0.333333333333333,1,0,0.333333333333333,0,0,0,0.333333333333333,0.666666666666667
555,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,2.66666666666667,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,60.3333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,6.33333333333333,0,0,5.33333333333333,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,2,1
575,0,0,0,0,0,0.333333333333333,0,0,4.66666666666667,0,0,0,0.333333333333333,0,0,2.33333333333333,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0,1.33333333333333,0,0.666666666666667,0,0,0,110,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0.333333333333333,0.333333333333333,0,22,0,0,5.33333333333333,0,3,2.33333333333333,0,0,0,0,0.333333333333333,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,4,0.333333333333333,0,0,0,0,0,1.66666666666667,0,0,0.333333333333333,0,0,0,0.333333333333333
582,0,0,0,200,0,0,0,0,0,0,0,0,0.333333333333333,0,0,3.66666666666667,0,0,0,1,0,0,1,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,108,0,0,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,0,5.33333333333333,0,0,5.66666666666667,0,4,3.33333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,17,0,0,0.666666666666667,0,2.66666666666667,0.333333333333333,0,0,0,0,0,3,0,0.333333333333333,0,0,0,2,1.66666666666667
602,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,5.66666666666667,0,0,0,0.333333333333333,0,0,1,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,61.3333333333333,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,4.66666666666667,0,0,8,0,3.33333333333333,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,11.6666666666667,0,0,10.3333333333333,0,0,0,0,6.66666666666667,7,0,0,0,0,0,3.33333333333333,0.333333333333333,1.33333333333333,0,0,0,0.666666666666667,0.333333333333333
618,0,0,0,133.333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,1.66666666666667,4,0,0,0,0.666666666666667,0,0,1.66666666666667,0.666666666666667,0,0,0.666666666666667,0,0.666666666666667,0,0,0,224,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,1,0,0,3.66666666666667,0,2,2.33333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,20.3333333333333,0,0,0.333333333333333,0,1,19,0,0,0,0,0,3.33333333333333,0,1,0,0,0,1,0.666666666666667
